,error,subproblem,subproblem_id,dataset_id,num_boost_round
0,5.14984130859375e-05,classification,1,0,1
1,0.000614166259765625,classification,1,0,2
2,0.0014495849609375,classification,1,0,4
3,0.00142669677734375,classification,1,0,8
4,0.00167083740234375,classification,1,0,16
5,0.00183868408203125,classification,1,0,32
6,0.00177001953125,classification,1,0,64
7,0.000148773193359375,classification,1,1,1
8,0.0001983642578125,classification,1,1,2
9,0.0002155303955078125,classification,1,1,4
10,0.000240325927734375,classification,1,1,8
11,0.00029754638671875,classification,1,1,16
12,0.0043487548828125,classification,1,1,32
13,0.00417327880859375,classification,1,1,64
14,0.00022125244140625,classification,1,2,1
15,0.0002574920654296875,classification,1,2,2
16,0.00109100341796875,classification,1,2,4
17,0.0010833740234375,classification,1,2,8
18,0.00121307373046875,classification,1,2,16
19,0.00110626220703125,classification,1,2,32
20,0.0017852783203125,classification,1,2,64
21,0.000347137451171875,classification,1,3,1
22,0.00103759765625,classification,1,3,2
23,0.00112152099609375,classification,1,3,4
24,0.00083160400390625,classification,1,3,8
25,0.00077056884765625,classification,1,3,16
26,0.000946044921875,classification,1,3,32
27,0.001007080078125,classification,1,3,64
28,3.147125244140625e-05,classification,2,0,1
29,4.673004150390625e-05,classification,2,0,2
30,5.7220458984375e-05,classification,2,0,4
31,6.4849853515625e-05,classification,2,0,8
32,8.7738037109375e-05,classification,2,0,16
33,0.000263214111328125,classification,2,0,32
34,0.000396728515625,classification,2,0,64
35,5.435943603515625e-05,classification,2,1,1
36,5.054473876953125e-05,classification,2,1,2
37,5.340576171875e-05,classification,2,1,4
38,9.1552734375e-05,classification,2,1,8
39,0.00012969970703125,classification,2,1,16
40,0.000152587890625,classification,2,1,32
41,0.0002593994140625,classification,2,1,64
42,4.1961669921875e-05,classification,2,2,1
43,3.9577484130859375e-05,classification,2,2,2
44,4.100799560546875e-05,classification,2,2,4
45,4.291534423828125e-05,classification,2,2,8
46,4.9591064453125e-05,classification,2,2,16
47,0.000133514404296875,classification,2,2,32
48,0.000202178955078125,classification,2,2,64
49,5.91278076171875e-05,classification,2,3,1
50,7.343292236328125e-05,classification,2,3,2
51,0.0001068115234375,classification,2,3,4
52,8.0108642578125e-05,classification,2,3,8
53,9.918212890625e-05,classification,2,3,16
54,0.000171661376953125,classification,2,3,32
55,0.00023651123046875,classification,2,3,64
56,2.86102294921875e-05,regression,1,0,1
57,2.86102294921875e-05,regression,1,0,2
58,2.288818359375e-05,regression,1,0,4
59,4.482269287109375e-05,regression,1,0,8
60,2.86102294921875e-05,regression,1,0,16
61,0.00010585784912109375,regression,1,0,32
62,0.00014495849609375,regression,1,0,64
63,1.233816146850586e-05,regression,1,1,1
64,2.288818359375e-05,regression,1,1,2
65,2.5272369384765625e-05,regression,1,1,4
66,3.3855438232421875e-05,regression,1,1,8
67,3.4809112548828125e-05,regression,1,1,16
68,4.100799560546875e-05,regression,1,1,32
69,8.20159912109375e-05,regression,1,1,64
70,4.673004150390625e-05,regression,1,2,1
71,4.57763671875e-05,regression,1,2,2
72,4.3392181396484375e-05,regression,1,2,4
73,4.3392181396484375e-05,regression,1,2,8
74,4.8160552978515625e-05,regression,1,2,16
75,4.8160552978515625e-05,regression,1,2,32
76,7.534027099609375e-05,regression,1,2,64
77,1.0013580322265625e-05,regression,1,3,1
78,2.288818359375e-05,regression,1,3,2
79,8.0108642578125e-05,regression,1,3,4
80,3.62396240234375e-05,regression,1,3,8
81,4.9591064453125e-05,regression,1,3,16
82,6.866455078125e-05,regression,1,3,32
83,0.00012969970703125,regression,1,3,64
84,7.62939453125e-05,regression,2,0,1
85,0.0001068115234375,regression,2,0,2
86,0.00018310546875,regression,2,0,4
87,0.00048828125,regression,2,0,8
88,0.000579833984375,regression,2,0,16
89,0.000823974609375,regression,2,0,32
90,0.002899169921875,regression,2,0,64
91,4.57763671875e-05,regression,2,1,1
92,0.0001068115234375,regression,2,1,2
93,0.0001678466796875,regression,2,1,4
94,0.00048828125,regression,2,1,8
95,0.0005950927734375,regression,2,1,16
96,0.000701904296875,regression,2,1,32
97,0.001068115234375,regression,2,1,64
98,7.62939453125e-05,regression,2,2,1
99,0.000152587890625,regression,2,2,2
100,0.000244140625,regression,2,2,4
101,0.00067138671875,regression,2,2,8
102,0.00048828125,regression,2,2,16
103,0.00146484375,regression,2,2,32
104,0.00244140625,regression,2,2,64
105,6.103515625e-05,regression,2,3,1
106,0.00018310546875,regression,2,3,2
107,0.00042724609375,regression,2,3,4
108,0.0008544921875,regression,2,3,8
109,0.00152587890625,regression,2,3,16
110,0.00201416015625,regression,2,3,32
111,0.00177001953125,regression,2,3,64
